Department,Phone Number,Location,Website
Biological Science Undergraduate Program,644-5053,"KING LIFE SCIENCES BUILDING, 319 STADIUM DR",
Biological Science Department Graduate Studies,644-3023,"KING LIFE SCIENCES BUILDING, 319 STADIUM DR",
"College of Engineering, Academic Advising",410-6349,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",
Modern Languages Graduate Academic Advising,644-8397,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
"Social Work, Academic Advising",644-5713,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Institute for Academic Leadership - Fax,644-0172,"WESTCOTT BUILDING, 222 S COPELAND ST",
Provost,644-1816,"WESTCOTT BUILDING, 222 S COPELAND ST",http://provost.fsu.edu/
Provost's Office,644-1765,"WESTCOTT BUILDING, 222 S COPELAND ST",
Arts & Sciences Dean,644-4404,"LONGMIRE BUILDING, 125 CONVOCATION WAY",
International Programs,644-3272,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Diving Programs, (Academic Research), Dive Safety Office",697-2078,"MARINE LAB- ADP/BOATING, 3618 COASTAL HIGHWAY 98",http://www.marinelab.fsu.edu/adp/
Graduation Requirements,644-5850,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Transcripts Staff,644-5857,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
CARE Center,644-9699,"THAGARD BUILDING, 109 COLLEGIATE LOOP",http://care.fsu.edu/
College Reach-Out Program,644-0935,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
CARE Summer Bridge Program,644-3605,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Travel,644-5021,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Travel Manager,644-9410,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://controller.vpfa.fsu.edu/Travel/
Disbursement Services - Fax,644-8137,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Payroll,644-3813,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Disbursement Services,  Imaging Right Fax",645-9501,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Property Tags,644-5010,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Accounting Services - Fax,644-6201,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Finance and Administration, Vice President",644-4444,"WESTCOTT BUILDING, 222 S COPELAND ST",http://www.vpfa.fsu.edu/
ROTC,644-3461,"HARPE/JOHNSON BUILDING, 103 VARSITY WAY",http://www.fsu.edu/~rotc/
Directory Assistance,644-2525,"Not Listed, 1800 ORANGE AVE",http://its.fsu.edu/Communications/Directory-Assistance
AFSCME,222-0842,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Master Craftsman Program,644-0139,"MASTER CRAFTSMAN STUDIO, 905 W GAINES ST",http://craft.fsu.edu/
Health and Wellness Center,644-6230,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",http://www.tshc.fsu.edu/
Health and Wellness Center T D D,850-644-2383,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
Business/Accounting,645-5631,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
First Responder Unit,644-3349,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
Laboratory,644-9504,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
Immunizations/Health History,644-3608,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
Health Information(Medical Records),644-5523,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
Physical Therapy ,644-0570,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
Radiology,644-5540,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
FSU Bookstore,644-2072,"PARKING GARAGE #1, 104 N WOODWARD AVE",http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=11003&langId=-1&catalogId=10001
FSU Card Center,644-7777,"PARKING GARAGE #1, 104 N WOODWARD AVE",http://www.fsucard.fsu.edu/
FSU Computer Store,644-7344,"PARKING GARAGE #1, 104 N WOODWARD AVE",http://www.fsucs.com/
Seminole Golf Course,644-2582,"MIDDLETON GOLF CENTER, 2550 POTTSDAMER ST",http://www.seminolegolfcourse.com/
The UPS Store,561-9180,"OGLESBY UNION - TURNER BLDG., 75 N WOODWARD AVE",http://www.fsups.net/
SunTrust Bank,561-9171,"PARKING GARAGE #1, 104 N WOODWARD AVE",
Parking & Transportation,644-5278,"PARKING GARAGE #1 - WOODWARD A, 104 N WOODWARD AVE",http://parking.fsu.edu/
Anthropology,644-4281,"2010:103- VARSITY PLAZA, 1857-B W. TENNESSEE ST.",http://www.anthro.fsu.edu/
Cawthon Hall Coordinator,644-7356,"CAWTHON HALL, 119 HONORS WAY",
Cawthon Hall Manager,644-7772,"CAWTHON HALL, 119 HONORS WAY",
Deviney Hall,644-3841,"DEVINEY HALL, 806 UNIVERSITY WAY",
Deviney Hall Assistant Coordinator,644-5064,"DEVINEY HALL, 806 UNIVERSITY WAY",
Deviney Hall Manager,644-2837,"DEVINEY HALL, 806 UNIVERSITY WAY",
Dorman Hall,644-3229,"DORMAN HALL, 812 W JEFFERSON ST",
